answer,clue
DAYWAR,"God Almighty I (Revelation 16:14)"
IALMIGHTY,"Behold I come (Revelation 16:15)"
COMEBEHOLD,"Thief blessed watcheth (Revelation 16:15)"
WATCHETHBLESS,"Keepeth garments (Revelation 16:15)"
GARMENTS KEEP,"Shame naked walk (Revelation 16:15)"
WALKN AKED,"Spirits gathered kings (Revelation 16:16)"
KINGSGATHERED,"Armageddon place (Revelation 16:16)"
PLACEARMAGEDDON,"Seventh angel poured (Revelation 16:17)"
POURED SEVENTH,"Vial air voice (Revelation 16:17)"
VOICEAIR,"From throne done (Revelation 16:17)"
DONETHRONE,"Lightnings voices (Revelation 16:18)"
VOICESLIGHTNING,"Thunders great earthquake (Revelation 16:18)"
EARTHQUAKEGREAT,"Such never was (Revelation 16:18)"
WASNEVER,"Cities nations fell (Revelation 16:19)"
FELLNATIONS,"Great Babylon remembered (Revelation 16:19)"
BABYLONGREAT,"Cup wine wrath (Revelation 16:19)"
WRATHWINE,"Every island fled (Revelation 16:20)"
FLEDEVERY,"Mountains not found (Revelation 16:20)"
FOUNDMOUNTAINS,"Hail great talent (Revelation 16:21)"
TALENTHAIL,"Men blasphemed God (Revelation 16:21)"
GODBLASPHEMED,"Plague hail exceeding (Revelation 16:21)"
EXCEEDINGPLAGUE,"Mystery Babylon great (Revelation 17:5)"
GREATBABYLON,"Mother harlots abominations (Revelation 17:5)"
ABOMINATIONSHARLOTS,"Earth drunk blood (Revelation 17:6)"
BLOODDRUNK,"Saints prophets blood (Revelation 17:6)"
BLOODPROPHETS,"Wondered with great (Revelation 17:6)"
GREATWONDERED,"One seven heads (Revelation 17:9)"
HEADSSEVEN,"Woman sitteth hills (Revelation 17:9)"
HILLS SITTETH,"Five fallen one (Revelation 17:10)"
ONEFALLEN,"Is other not yet (Revelation 17:10)"
YETNOT,"Little while reign (Revelation 17:10)"
REIGNWHILE,"Eighth kings beast (Revelation 17:11)"
BEASTKINGS,"Of seven was (Revelation 17:11)"
WASSEVEN,"Goeth perdition damnation (Revelation 17:11)"
DAMNATIONGOETH,"Ten horns kings (Revelation 17:12)"
KINGSHORNS,"One hour receive (Revelation 17:12)"
RECEIVEHOUR,"Power authority beast (Revelation 17:12)"
BEASTAUTHORITY,"One mind give (Revelation 17:13)"
GIVEMIND,"Power beast one (Revelation 17:13)"
ONEBEAST,"War Lamb overcome (Revelation 17:14)"
OVERCOMEWAR,"Lord lords king (Revelation 17:14)"
KINGLORDS,"Called chosen faithful (Revelation 17:14)"
FAITHFULCHOSEN,"Waters woman sat (Revelation 17:15)"
SATWOMAN,"Peoples multitudes nations (Revelation 17:15)"
NATIONSMULTITUDES,"Tongues waters peoples (Revelation 17:15)"
PEOPLESWATERS,"Hate harlot waste (Revelation 17:16)"
WASTEHATE,"Flesh eat burn (Revelation 17:16)"
BURNEAT,"Fire fulfill God (Revelation 17:17)"
GODFULFILL,"Mind one put (Revelation 17:17)"
PUTMIND,"Words God done (Revelation 17:17)"
DONEGOD,"City one hour (Revelation 18:10)"
HOURCITY,"Judgment thy plagues (Revelation 18:8)"
PLAGUESTHY,"Come suddenly death (Revelation 18:8)"
DEATHSUDDENLY,"Mourning famine fire (Revelation 18:8)"
FIREFAMINE,"Strong city one (Revelation 18:10)"
ONESTRONG,"Hour judgment come (Revelation 18:10)"
COM EJUDGMENT,"Merchants earth rich (Revelation 18:11)"
RICH EARTH,"No buy goods (Revelation 18:11)"
GOODSNOBUY,"Cargoes gold silver (Revelation 18:12)"
SILVERGOLD,"Precious stones pearls (Revelation 18:12)"
PEARLSSTONES,"Fine linen scarlet (Revelation 18:12)"
SCARLETLINEN,"Citron wood ivory (Revelation 18:12)"
IVORYWOOD,"All vessels thyine (Revelation 18:12)"
THYINEVESSELS,"Bronze iron marble (Revelation 18:12)"
MARBLEIRON,"Cinnamon spice incense (Revelation 18:13)"
INCENSESPICE,"Ointment frankincense (Revelation 18:13)"
FRANKINCENSEOINTMENT,"Wine oil fine (Revelation 18:13)"
FINEOIL,"Flour wheat beasts (Revelation 18:13)"
BEASTSWHEAT,"Horses chariots slaves (Revelation 18:13)"
SLAVESCHARIOTS,"Souls men bodies (Revelation 18:13)"
BODIESSOULS,"Fruit soul longed (Revelation 18:14)"
LONGE DS OUL,"No more find (Revelation 18:14)"
FINDMORE,"Captains sea afar (Revelation 18:17)"
AFARSE A,"One hour desolate (Revelation 18:17)"
DESOLATEHOUR,"Wealth perished (Revelation 18:17)"
PERISHEDWEALTH,"Sing lamentation (Revelation 18:9)"
LAMENTSING,"Kings earth committed (Revelation 18:9)"
COMMITTEDEARTH,"Fornication lived deliciously (Revelation 18:9)"
DELICIOUSLYLIVED,"Shall see burning (Revelation 18:18)"
BURNINGSEE,"What city like (Revelation 18:18)"
LIKE CITY,"Dust earth thrown (Revelation 18:19)"
THROWNDUST,"Woe woe city (Revelation 18:19)"
CITYWOE,"Gold silver desolate (Revelation 18:19)"
DESOLATESILVER,"No more at (Revelation 18:21)"
ATMORE,"Mighty angel millstone (Revelation 18:21)"
MILLSTON EANGEL,"Cast great sea (Revelation 18:21)"
SEACAST,"Thus violently Babylon (Revelation 18:21)"
BABYLONVIOLENTLY,"No more sound (Revelation 18:22)"
SOUNDSMORE,"Harp music flute (Revelation 18:22)"
FLUTEMUSIC,"Trumpet no more (Revelation 18:22)"
MOREDONE,"Grind millstone sound (Revelation 18:22)"
SOUND MILL,"Light lamp shine (Revelation 18:23)"
SHINELAMP,"Voice bridegroom bride (Revelation 18:23)"
BRIDEBRIDEGROOM,"Merchants great men (Revelation 18:23)"
MENGREAT,"Deceived sorceries all (Revelation 18:23)"
ALLSORCERIES,"Blood prophets saints (Revelation 18:24)"
SAINTSBLOOD,"All slain earth (Revelation 18:24)"
EARTHSLAIN,"After these heaven (Revelation 19:1)"
HEAVENAFTER,"Hallelujah salvation power (Revelation 19:1)"
POWER SALVATION,"Judgments true holy (Revelation 19:2)"
HOLYTRUE,"Avenged blood servants (Revelation 19:2)"
SERVANTSAVENGED,"Smoke ascends forever (Revelation 19:3)"
FOREVERASCENDS,"Hallelujah throne (Revelation 19:4)"
THRONEHALLELUJAH,"Praise our God (Revelation 19:5)"
GODPRAISE,"Fear him saints (Revelation 19:5)"
SAINTSF EAR,"Great voice multitude (Revelation 19:6)"
MULTITUDEVOICE,"As waters many (Revelation 19:6)"
MANYWATERS,"Voice thunder great (Revelation 19:6)"
GREATTHUNDER,"Hallelujah Lord God (Revelation 19:6)"
GODLORD,"Almighty reigneth (Revelation 19:6)"
REIGNETHALMIGHTY,"Marriage Lamb come (Revelation 19:7)"
COMELAMB,"Wife ready arrayed (Revelation 19:7)"
ARRAYEDREADY,"Fine linen clean (Revelation 19:8)"
CLEANLINEN,"Righteousness saints (Revelation 19:8)"
SAINTSRIGHTEOUSNESS,"Blessed called marriage (Revelation 19:9)"
MARRIAGE CALLED,"Write blessed supper (Revelation 19:9)"
SUPPERBLESS,"Angel heaven said (Revelation 19:10)"
SAIDHEAVEN,"Worship God testimony (Revelation 19:10)"
TESTIMONYGOD,"Spirit prophets (Revelation 19:10)"
PROPHETSSIRIT,"Heaven opened saw (Revelation 19:11)"
SAWOPENED,"White horse faithful (Revelation 19:11)"
FAITHFULHORSE,"True called (Revelation 19:11)"
CALLEDTRUE,"Eyes flame fire (Revelation 19:12)"
FIREFLAME,"Crowns many diadems (Revelation 19:12)"
DIademsMANY,"Name written unknown (Revelation 19:12)"
UNKNOWNNAME,"Vestment dipped blood (Revelation 19:13)"
BLOODDIPPED,"Word God called (Revelation 19:13)"
CALLEDWORD,"Armies heaven followed (Revelation 19:14)"
FOLLOWEDHEAVEN,"White pure linen (Revelation 19:14)"
LINENPURE,"On white horses (Revelation 19:14)"
HORSESWHITE,"Mouth sword sharp (Revelation 19:15)"
SHARPSWORD,"Smite nations rod (Revelation 19:15)"
RODNATIONS,"Iron rule them (Revelation 19:15)"
THEMRULE,"Tread winepress wrath (Revelation 19:15)"
WRATHWINEPRESS,"Fierce anger Almighty (Revelation 19:15)"
ALMIGHTYANGER,"Name King kings (Revelation 19:16)"
KINGSKING,"Lord lords thigh (Revelation 19:16)"
LORDLORD,"Angel stood altar (Revelation 19:17)"
ALTARSTOOD,"Great voice fowl (Revelation 19:17)"
FOWLVOICE,"Mid heaven supper (Revelation 19:17)"
SUPPERHEAVEN,"Kings captains rich (Revelation 19:18)"
RICH CAPTAINS,"Flesh horses flesh (Revelation 19:18)"
FLESHHORSE,"All free great (Revelation 19:18)"
GREATFREE,"Gathered kill beast (Revelation 19:19)"
BEASTKILL,"Kings earth army (Revelation 19:19)"
ARMY EARTH,"Birds called supper (Revelation 19:21)"
SUPPERCALLED,"Flesh of captains (Revelation 19:18)"
CAPTAINSFLESH,"Beast kings earth (Revelation 19:19)"
EARTHKINGS,"Taken beast false (Revelation 19:20)"
FALSEBEAST,"Prophet miracles deceived (Revelation 19:20)"
DECEIVEDMIRACLES,"Fire heaven before (Revelation 19:20)"
BEFOREHEAVEN,"Cast alive lake (Revelation 19:20)"
LAKEALIVE,"Fire brimstone torment (Revelation 19:20)"
TORMENTBRIMSTONE,"Rest slain sword (Revelation 19:21)"
SWORD SLAIN,"Birds filled flesh (Revelation 19:21)"
FLESHBIRDS,"Saw heaven open (Revelation 19:11)"
OPENS AW,"Thousand years bound (Revelation 20:2)"
B OUND YEARS,"Satan dragon bound (Revelation 20:2)"
DRAGONSATAN,"Cast bottomless pit (Revelation 20:3)"
PITBOTTOMLESS,"Deceive nations no (Revelation 20:3)"
NONATIONS,"After thousand loosed (Revelation 20:3)"
LOOSEDTHOUSAND,"First resurrection blessed (Revelation 20:5)"
BLESSRE SUR,"Second death power (Revelation 20:6)"
POWERDEATH,"Priests God Christ (Revelation 20:6)"
CHRISTPRIESTS,"Reign thousand years (Revelation 20:6)"
YEARSREIGN,"Gog Magog gathered (Revelation 20:8)"
GOGMAGOG,"Sands sea number (Revelation 20:8)"
NUMBERSEA,"Fire came down (Revelation 20:9)"
DOWNFIRE,"Devoured them camp (Revelation 20:9)"
CAM PDEV OURED,"Devil cast lake (Revelation 20:10)"
LAKEDEVIL,"Fire brimstone tormented (Revelation 20:10)"
TORMENTEDBRIMSTONE,"Day night forever (Revelation 20:10)"
FOREVERNIGHT,"Dead small great (Revelation 20:12)"
GREATSMALL,"Books opened judged (Revelation 20:12)"
JUDGEDOPENED,"Book life opened (Revelation 20:12)"
OPENEDLIFE,"Judged works written (Revelation 20:12)"
WRITTENWORKS,"Sea gave dead (Revelation 20:13)"
DEADGAVE,"Death hell gave (Revelation 20:13)"
GAVEHELL,"Judged every man (Revelation 20:13)"
MANEVERY,"According works died (Revelation 20:13)"
DIEDWORKS,"Death hell cast (Revelation 20:14)"
CASTHELL,"Lake fire second (Revelation 20:14)"
SECONDFIRE,"Death lake fire (Revelation 20:14)"
FIRELAKE,"Not found life (Revelation 20:15)"
LIFENOT,"New heaven earth (Revelation 21:1)"
EARTHNEW,"First passed away (Revelation 21:1)"
AWAYPASSED,"No sea more (Revelation 21:1)"
MORESEA,"New Jerusalem coming (Revelation 21:2)"
COMINGJERUSALEM,"Prepared bride adorned (Revelation 21:2)"
ADORNEDBRIDE,"Voice great said (Revelation 21:3)"
SAIDGREAT,"Tabernacle men God (Revelation 21:3)"
GODMEN,"Dwell with them (Revelation 21:3)"
THEMDWELL,"People God be (Revelation 21:3)"
BEGOD,"Wipe tears eyes (Revelation 21:4)"
EYES TEARS,"No death sorrow (Revelation 21:4)"
SORROWDEATH,"No crying pain (Revelation 21:4)"
PAINCRYING,"First things passed (Revelation 21:4)"
PASSEDTHINGS,"He sitting throne (Revelation 21:5)"
THRONESITTING,"Make all new (Revelation 21:5)"
NEWALL,"Write faithful true (Revelation 21:5)"
TRUEFAITHFUL,"It is done (Revelation 21:6)"
DONEIT,"Alpha Omega beginning (Revelation 21:6)"
BEGGINGOMEGA,"Thirsty give water (Revelation 21:6)"
WATERGIVE,"Fountain life free (Revelation 21:6)"
FREELIFE,"Overcometh inherit all (Revelation 21:7)"
ALLINHERIT,"Cowardly unbelieving (Revelation 21:8)"
UNBELIEVINGCOWARDLY,"Abominable murderers sorcerers (Revelation 21:8)"
SORCERERSMURDERERS,"Idolaters liars second (Revelation 21:8)"
SECONDLIARS,"Death lake fire (Revelation 21:8)"
FIRELAKE,"One jasper clear (Revelation 21:11)"
CLEARJASPER,"Glory God light (Revelation 21:11)"
LIGHTGOD,"Wall great high (Revelation 21:12)"
HIGHWALL,"Twelve gates angels (Revelation 21:12)"
ANGELSGATES,"Names tribes Israel (Revelation 21:12)"
ISRAELTRIBES,"Three gates east (Revelation 21:13)"
EASTGATES,"North south west (Revelation 21:13)"
WESTSOUTH,"Wall city twelve (Revelation 21:14)"
TWELVECITY,"Foundations names apostles (Revelation 21:14)"
APOSTLESFOUNDATIONS,"Angel measure city (Revelation 21:15)"
CITYMEASURE,"Reed gold measure (Revelation 21:15)"
MEASUREGOLD,"City foursquare (Revelation 21:16)"
FOURSQUARECITY,"Length breadth height (Revelation 21:16)"
HEIGHTBREADTH,"Equal angel measured (Revelation 21:17)"
MEASUREDANGEL,"Wall hundred forty (Revelation 21:17)"
FORTYWALL,"Fours reed measure (Revelation 21:17)"
MEASUREREED,"Wall jasper clear (Revelation 21:18)"
CLEARJASPER,"City pure gold (Revelation 21:18)"
GOLDPURE,"Glass clear gold (Revelation 21:18)"
GOLDGLASS,"Foundations adorned stones (Revelation 21:19)"
STONESADORNED,"First jasper second (Revelation 21:19)"
SECONDSAPPHIRE,"Third chalcedony fourth (Revelation 21:19)"
FOURTH EMERALD,"Fifth sardonyx sixth (Revelation 21:20)"
SIXTHSARUS,"Seventh chrysolite eighth (Revelation 21:20)"
EIGHTHBERYL,"Ninth topaz tenth (Revelation 21:20)"
TENTHCHRYSOPRASE,"Eleventh jacinth twelfth (Revelation 21:20)"
TWELFTHAMETHYST,"City street pure (Revelation 21:21)"
PURESTREET,"Gold transparent glass (Revelation 21:21)"
GLASSTRANSPARENT,"Gates twelve pearls (Revelation 21:21)"
PEARLSGATES,"Each gate single (Revelation 21:21)"
SINGLEEACH,"Pearl street gold (Revelation 21:21)"
GOLDSTREET,"No temple therein (Revelation 21:22)"
THERENTEMPLE,"Lord God Almighty (Revelation 21:22)"
ALMIGHTYGOD,"Lamb temple (Revelation 21:22)"
TEMPLELAMB,"City no need (Revelation 21:23)"
NEEDCITY,"Sun light moon (Revelation 21:23)"
MOONLIGHT,"Glory God lightens (Revelation 21:23)"
LIGHTENSGOD,"Lamb lamp thereof (Revelation 21:23)"
THEREOFLAMB,"Nations walk light (Revelation 21:24)"
LIGHTWALK,"Kings earth glory (Revelation 21:24)"
GLORYEARTH,"Gates not shut (Revelation 21:25)"
SHUTNOT,"Day no night (Revelation 21:25)"
NIGHTDAY,"Bring glory nations (Revelation 21:26)"
NATION SGLORY,"Nothing unclean enter (Revelation 21:27)"
ENTERUNCLEAN,"Written book life (Revelation 21:27)"
LIFEB OOK,"Lamb servants (Revelation 22:3)"
SERVANTSLAMB,"No curse more (Revelation 22:3)"
MORECURSE,"Throne God Lamb (Revelation 22:3)"
LAMBGOD,"Street thereof center (Revelation 22:2)"
CENTERSTREET,"River water life (Revelation 22:1)"
LIFEWATER,"Clear crystal proceeding (Revelation 22:1)"
PROCEEDINGCRYSTAL,"Throne God Lamb (Revelation 22:1)"
LAMBGOD,"Mid street river (Revelation 22:2)"
RIVERSTREET,"Tree life either (Revelation 22:2)"
SIDES EITHER,"Side bearing fruit (Revelation 22:2)"
FRUITBEARING,"Months twelve fruit (Revelation 22:2)"
FRUITTWELVE,"Leaves healing nations (Revelation 22:2)"
NATIONSHEALING,"No curse night (Revelation 22:3)"
NIGHTCURSE,"See face his (Revelation 22:4)"
HISFACE,"Name foreheads (Revelation 22:4)"
FOREHEADSNAME,"Night no more (Revelation 22:5)"
MORESIGHT,"Lamp light sun (Revelation 22:5)"
SUNLIGHT,"Lord give light (Revelation 22:5)"
LIGHTGIVE,"Reign forever (Revelation 22:5)"
FOREVERREIGN,"Said he angel (Revelation 22:6)"
ANGELHE,"Things shortly fulfilled (Revelation 22:6)"
FULFILLED SHORTLY,"Lord God prophets (Revelation 22:6)"
PROPHETSGOD,"Sent angel show (Revelation 22:6)"
SHOWANGEL,"Churches things quick (Revelation 22:6)"
QUICKTHINGS,"Behold I come (Revelation 22:7)"
COMEBEHOLD,"Blessed keep words (Revelation 22:7)"
WORDSKEEP,"Prophecy this book (Revelation 22:7)"
BOOKPROPHECY,"John saw heard (Revelation 22:8)"
HEARDSAW,"Fell worship angel (Revelation 22:8)"
ANGELWORSHIP,"See worship God (Revelation 22:9)"
GODWORSHIP,"Brethren prophets words (Revelation 22:9)"
WORDS PROPHETS,"Keep sayings book (Revelation 22:9)"
BOOKSAYINGS,"Seal not words (Revelation 22:10)"
WORDSSEAL,"Time near at (Revelation 22:10)"
ATNEAR,"Unjust let unjust (Revelation 22:11)"
UNJUSTLET,"Filthy still filthy (Revelation 22:11)"
FILTHYSTILL,"Righteous do righteous (Revelation 22:11)"
RIGHTEOUSDO,"Holy still holy (Revelation 22:11)"
HOLYSTILL,"Behold I come (Revelation 22:12)"
COMEBEHOLD,"Reward with me (Revelation 22:12)"
MEWITH,"Give every man (Revelation 22:12)"
MANEVERY,"Work I according (Revelation 22:12)"
ACCORDINGWORK,"Alpha Omega first (Revelation 22:13)"
FIRSTOMEGA,"Last beginning end (Revelation 22:13)"
ENDBEGINNING,"Blessed wash robes (Revelation 22:14)"
ROBESWASH,"Right tree life (Revelation 22:14)"
LIFETREE,"Enter gates city (Revelation 22:14)"
CITYGATES,"Without dogs sorcerers (Revelation 22:15)"
SORCERERSDOGS,"Idolaters whosoever (Revelation 22:15)"
WHOSOEVERIDOLATERS,"Loveth lying maketh (Revelation 22:15)"
MAKETHLYING,"I Jesus sent (Revelation 22:16)"
SENTJESUS,"Angel testify churches (Revelation 22:16)"
CHURCHESTESTIFY,"Root David bright (Revelation 22:16)"
BRIGHTDAVID,"Star morning (Revelation 22:16)"
MORNINGSTAR,"Spirit bride say (Revelation 22:17)"
SAYBRIDE,"Come let him (Revelation 22:17)"
HIMLET,"Thirst let take (Revelation 22:17)"
TAKETHIRST,"Water life free (Revelation 22:17)"
FREELIFE,"Add words plague (Revelation 22:18)"
PLAGUEWORDS,"Take book life (Revelation 22:19)"
LIFEBOOK,"Out holy city (Revelation 22:19)"
CITYHOLY,"Things written mine (Revelation 22:19)"
MINEWRITTEN,"Surely I come (Revelation 22:20)"
COMESURELY,"Even so come (Revelation 22:20)"
COMEEVEN,"Lord Jesus grace (Revelation 22:21)"
GRACEJESUS,"Saints amen (Revelation 22:21)"
